year,title,authors,doi,category,priority,status,notes,filename
,2024 Shandi Merlo Nanzer Wireless Picosecond Time Synchronization Dynamic Connectivity,,,source documentation,reference,included_topical,source_or_downloaded,2024_Shandi_Merlo_Nanzer_Wireless_Picosecond_Time_Synchronization_Dynamic_Connectivity.pdf
,2024 Decentralized Picosecond Synchronization Distributed Wireless Systems,,,source documentation,reference,included_topical,source_or_downloaded,2024_Decentralized_Picosecond_Synchronization_Distributed_Wireless_Systems.pdf
,Honeywell EP2985625A1 FMCW Radar with Timing Synchronization,,,source documentation,reference,included_topical,source_or_downloaded,Honeywell_EP2985625A1_FMCW_Radar_with_Timing_Synchronization.pdf
,Honeywell US20160047892A1 FMCW Radar Phase Encoded Data Channel,,,source documentation,reference,included_topical,source_or_downloaded,Honeywell_US20160047892A1_FMCW_Radar_Phase_Encoded_Data_Channel.pdf
,2022 Kumbul Smoothed Phase Coded FMCW,,,source documentation,reference,included_topical,source_or_downloaded,2022_Kumbul_Smoothed_Phase_Coded_FMCW.pdf
,TI AWR2943 AWR2944 Datasheet RevE 2026,,,source documentation,reference,included_topical,source_or_downloaded,TI_AWR2943_AWR2944_Datasheet_RevE_2026.pdf
,TI AWR294x Technical Reference Manual RevD,,,source documentation,reference,included_topical,source_or_downloaded,TI_AWR294x_Technical_Reference_Manual_RevD.pdf
,TI AWR294x Device Errata RevC,,,source documentation,reference,included_topical,source_or_downloaded,TI_AWR294x_Device_Errata_RevC.pdf
,TI AWR2944 AWR2944P EVM User Guide RevC,,,source documentation,reference,included_topical,source_or_downloaded,TI_AWR2944_AWR2944P_EVM_User_Guide_RevC.pdf
,TI mmWave Sensor Raw Data Capture DCA1000 mmWave Studio,,,source documentation,reference,included_topical,source_or_downloaded,TI_mmWave_Sensor_Raw_Data_Capture_DCA1000_mmWave_Studio.pdf
,TI Programming Chirp Parameters,,,source documentation,reference,included_topical,source_or_downloaded,TI_Programming_Chirp_Parameters.pdf
,TI Cascade Coherency Phase Shifter Calibration,,,source documentation,reference,included_topical,source_or_downloaded,TI_Cascade_Coherency_Phase_Shifter_Calibration.pdf
,TI Self Calibration mmWave Radar Devices,,,source documentation,reference,included_topical,source_or_downloaded,TI_Self_Calibration_mmWave_Radar_Devices.pdf
,TI MIMO Radar,,,source documentation,reference,included_topical,source_or_downloaded,TI_MIMO_Radar.pdf
,2026-08-07 Saeed Meeting Notes,,,source documentation,reference,included_topical,source_or_downloaded,2026-08-07_Saeed_Meeting_Notes.pdf
,FMCW TWTT acquisition status 2026-08-10.md,,,source documentation,reference,included_topical,source_or_downloaded,FMCW_TWTT_acquisition_status_2026-08-10.md
,2013 Pfeffer FMCW MIMO Frequency Division TX Beamforming,,,source documentation,reference,included_restricted_user_supplied,user_upload,2013_Pfeffer_FMCW_MIMO_Frequency_Division_TX_Beamforming.pdf
,2014 Frischen Hasch Waldschmidt - Cooperative Radar: Uncorrelated Phase Noise,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2014_Frischen_Hasch_Waldschmidt_Cooperative_Radar_Uncorrelated_Phase_Noise.pdf
,2014 Rajan van der Veen - Joint Ranging and Synchronization for Anchorless Mobile Networks,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2014_Rajan_van_der_Veen_Joint_Ranging_Synchronization_Anchorless_Mobile_Network.pdf
,2015 Dwivedi - Joint Ranging and Clock Parameter Estimation via Two-Way RTT,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2015_Dwivedi_Joint_Ranging_Clock_Parameter_Estimation_Two_Way_RTT.pdf
,2015 ITU - Two-Way Satellite Time and Frequency Transfer,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2015_ITU_TF1153_Two_Way_Satellite_Time_Frequency_Transfer.pdf
,2016 Lopez-Martinez et al. - Simulation of FMCW Radar with SDR,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2016_Lopez_Martinez_Vidal_Morera_Simulation_FMCW_Radar_SDR.pdf
,2016 Scheiblhofer - In-Chirp FSK Communication Between Cooperative 77-GHz Radar Stations,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2016_Scheiblhofer_In_Chirp_FSK_Communication_Cooperative_77GHz_Radar.pdf
,2017 TI - Complex Baseband Architecture in FMCW Radar Systems,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2017_TI_Complex_Baseband_Architecture_in_FMCW_Radar_Systems.pdf
,2018 Kazaz - Joint Ranging and Clock Synchronization for Dense IoT,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2018_Kazaz_Joint_Ranging_Clock_Synchronization_Dense_IoT.pdf
,2018 Park et al. - Leakage Mitigation / Internal Delay Compensation in FMCW,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2018_Park_Park_Park_Leakage_Mitigation_Internal_Delay_Compensation_FMCW.pdf
,2018 Svensson - High Resolution Frequency Estimation for FMCW Radar (thesis),,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2018_Svensson_High_Resolution_Frequency_Estimation_FMCW_Radar_Thesis.pdf
,2019 Mueller Diewald - Cooperative Radar Signature Method for Unambiguity,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2019_Mueller_Diewald_Cooperative_Radar_Signature_Unambiguity.pdf
,2019 Wang et al. - Range Accuracy of FMCW Radar with Source Nonlinearity,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2019_Wang_et_al_Range_Accuracy_FMCW_Source_Nonlinearity.pdf
,2020 Infineon - Phase Coded FMCW Radar patent,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2020_Infineon_US20200132825A1_Phase_Coded_FMCW_Radar.pdf
,2020 UIUC - FMCW Radar lecture,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2020_UIUC_FMCW_Radar_Lecture.pdf
,2020 Uysal Orru - Phase-Coded FMCW Automotive Radar: Application and Challenges,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2020_Uysal_Orru_Phase_Coded_FMCW_Application_and_Challenges.pdf
,2022 Architectures and Synchronization Techniques for Distributed Satellite Systems - Survey,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2022_Architectures_and_Synchronization_Techniques_Distributed_Satellite_Systems_Survey.pdf
,2022 Duerr - Coherent Multistatic MIMO Radar Network with Phase-Noise-Optimized Synthesis,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,TI_MIMO_Radar.pdf
,2022 MIT - Radar and Coherent Sensor Processing lecture,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2022_MIT_Radar_and_Coherent_Sensor_Processing_Lecture.pdf
,2022 TI - Interference Mitigation for AWR/IWR Devices,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2022_TI_Interference_Mitigation_for_AWR_IWR_Devices.pdf
,2023 Tagliaferri et al. - Cooperative Coherent Multistatic Imaging and Phase Synchronization,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2023_Tagliaferri_et_al_Cooperative_Coherent_Multistatic_Imaging_Phase_Synchronization.pdf
,2024 Ahmadi et al. - Distributed Massive MIMO FMCW Radar Simulator with Ray Tracing,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,TI_MIMO_Radar.pdf
,2024 Chen Niknejad - RF-Domain Leakage Cancellation for FMCW Radars,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2024_Chen_Niknejad_RF_Domain_Leakage_Cancellation_FMCW_Radars.pdf
,2024 Huang et al. - Overview of Millimeter-Wave Radar Modeling Methods,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2024_Huang_et_al_Overview_Millimeter_Wave_Radar_Modeling_Methods.pdf
,2024 Kou et al. - Distributed PMCW Radar Network Phase Noise,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2024_Kou_Bauduin_Bourdoux_Pollin_Distributed_PMCW_Radar_Network_Phase_Noise.pdf
,2024 Multi-Objective Distributed Beamforming with High-Accuracy Synchronization,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2024_Multi_Objective_Distributed_Beamforming_High_Accuracy_Sync.pdf
,2025 BIPM - Time Dissemination/TWSTFT lecture,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_BIPM_Time_Dissemination_TWSTFT_Lecture.pdf
,2025 DLR - Investigation of CW/LFM Waveforms for Bi/Multistatic Radar Synchronization,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_DLR_Investigation_CW_LFM_Waveforms_Bi_Multistatic_Radar_Synchronization.pdf
,2025 Eid - Novel Simulation Technique for UWB FMCW Radar,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_Eid_Novel_Simulation_Technique_UWB_FMCW_Radar.pdf
,2025 Han Meng Masouros - OTA Time/Frequency Synchronization for Distributed ISAC,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_Han_Meng_Masouros_OTA_Time_Frequency_Synchronization_Distributed_ISAC.pdf
,2025 Multistatic Radar Performance with Distributed Wireless Synchronization / BCRLB,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_Multistatic_Radar_Performance_Distributed_Wireless_Synchronization_BCRLB.pdf
,2025 Real-Time High-Accuracy Digital Wireless Time/Frequency/Phase Synchronization,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2025_Real_Time_High_Accuracy_Digital_Wireless_Time_Frequency_Phase_Synchronization.pdf
,2026 UCSB - Introduction to mmWave Radar Sensing Lab Notes,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,2026_UCSB_Introduction_to_mmWave_Radar_Sensing_Lab_Notes.pdf
,Merlo - Picosecond NLOS Wireless Time/Frequency Transfer presentation,,,extended bibliography,P2,included_acquired_research_copy,Listed in prior acquisition staging; no separate PDF bytes available in this runtime. Physical research copy is included in the topical archive; check original publication license before redistribution.,Merlo_Picosecond_NLOS_Wireless_Time_Frequency_Transfer_Presentation.pdf
2019,2019 MathWorks Automotive Radar Development MATLAB,,,additional acquired,P2,included_acquired_research_copy,Acquired during the literature sweep and included as a research copy; see original source for licensing/redistribution terms.,2019_MathWorks_Automotive_Radar_Development_MATLAB.pdf
2022,2022 Duerr Coherent Multistatic MIMO Radar Network Phase Noise Optimized Synthesis,,,additional acquired,P2,included_acquired_research_copy,Acquired during the literature sweep and included as a research copy; see original source for licensing/redistribution terms.,2022_Duerr_Coherent_Multistatic_MIMO_Radar_Network_Phase_Noise_Optimized_Synthesis.pdf
2024,2024 Ahmadi et al Distributed Massive MIMO FMCW Radar Simulator Ray Tracing,,,additional acquired,P2,included_acquired_research_copy,Acquired during the literature sweep and included as a research copy; see original source for licensing/redistribution terms.,2024_Ahmadi_et_al_Distributed_Massive_MIMO_FMCW_Radar_Simulator_Ray_Tracing.pdf
